17
0.00;35.00;39.00;40.00;54.50;26.50;19.00;38.00;43.10;54.50;34.00;22.50;24.70;14.00;18.00;36.50;25.00
35.00;0.00;45.00;54.70;70.20;32.50;25.00;37.00;75.40;70.40;53.30;54.80;16.00;21.00;50.30;62.70;24.00
39.00;45.00;0.00;11.50;51.50;13.00;20.00;16.20;40.10;51.50;13.00;19.50;50.70;53.00;24.00;22.40;27.00
40.00;54.70;11.50;0.00;51.70;22.20;29.70;23.60;40.30;51.70;6.00;19.70;60.40;54.00;23.40;12.00;36.20
54.50;70.20;51.50;51.70;0.00;54.30;61.80;67.70;35.20;9.10;45.70;32.00;59.90;49.20;36.50;46.00;68.30
26.50;32.50;13.00;22.20;54.30;0.00;7.50;17.60;42.90;54.30;20.80;22.30;38.20;40.50;17.80;30.20;14.00
19.00;25.00;20.00;29.70;61.80;7.50;0.00;19.50;50.40;61.80;28.30;29.80;30.70;33.00;25.30;37.70;16.00
38.00;37.00;16.20;23.60;67.70;17.60;19.50;0.00;56.30;67.70;29.20;35.70;50.20;52.00;35.40;35.60;13.00
43.10;75.40;40.10;40.30;35.20;42.90;50.40;56.30;0.00;26.10;34.30;20.60;67.80;57.10;25.10;34.60;56.90
54.50;70.40;51.50;51.70;9.10;54.30;61.80;67.70;26.10;0.00;45.70;32.00;60.10;49.40;36.50;46.00;68.30
34.00;53.30;13.00;6.00;45.70;20.80;28.30;29.20;34.30;45.70;0.00;13.70;58.70;48.00;17.40;9.40;34.80
22.50;54.80;19.50;19.70;32.00;22.30;29.80;35.70;20.60;32.00;13.70;0.00;47.20;36.50;4.50;14.00;36.30
24.70;16.00;50.70;60.40;59.90;38.20;30.70;50.20;67.80;60.10;58.70;47.20;0.00;10.70;42.70;61.20;40.00
14.00;21.00;53.00;54.00;49.20;40.50;33.00;52.00;57.10;49.40;48.00;36.50;10.70;0.00;32.00;50.50;39.00
18.00;50.30;24.00;23.40;36.50;17.80;25.30;35.40;25.10;36.50;17.40;4.50;42.70;32.00;0.00;18.50;31.80
36.50;62.70;22.40;12.00;46.00;30.20;37.70;35.60;34.60;46.00;9.40;14.00;61.20;50.50;18.50;0.00;44.20
25.00;24.00;27.00;36.20;68.30;14.00;16.00;13.00;56.90;68.30;34.80;36.30;40.00;39.00;31.80;44.20;0.00
-1;13;6;10;11;6;0;16;11;11;0;14;13;0;0;11;0
13;-1;6;5;13;6;1;16;11;13;5;14;1;1;5;10;1
6;6;-1;2;11;2;2;2;11;11;2;2;6;0;11;10;2
10;6;3;-1;11;3;5;3;11;11;3;10;6;0;10;3;5
14;13;11;10;-1;14;5;2;9;4;11;4;13;4;11;11;5
6;6;5;5;11;-1;5;5;11;11;5;14;6;0;5;10;5
6;6;6;5;11;6;-1;6;11;11;5;14;6;0;5;10;6
16;16;7;7;11;7;7;-1;11;11;2;2;6;0;5;3;7
14;6;11;10;9;14;5;2;-1;8;11;8;13;0;11;11;5
14;13;11;10;9;14;5;2;9;-1;11;9;13;9;11;11;5
10;6;10;10;11;10;5;2;11;11;-1;10;13;0;10;10;5
14;6;11;10;11;14;5;2;11;11;11;-1;13;0;11;11;5
13;12;6;5;13;6;12;6;11;13;0;14;-1;12;0;11;1
13;13;6;10;13;6;0;16;11;13;0;14;13;-1;0;11;0
14;6;11;10;11;14;5;5;11;11;14;14;13;0;-1;11;5
14;6;10;15;11;10;5;3;11;11;15;15;13;0;11;-1;5
16;16;16;5;11;16;16;16;11;11;5;14;1;0;5;10;-1
